104.238.129.180#US|460.3Mbps|TLS24.61ms
45.148.125.245#US|387.1Mbps|TLS16.77ms
150.136.254.79#US|333.7Mbps|TLS8.28ms
198.23.187.242#US|219.8Mbps|TLS34.65ms
104.168.56.73#US|172.3Mbps|TLS97.01ms
172.245.246.110#US|167.2Mbps|TLS99.91ms
20.236.72.53#US|162.0Mbps|TLS27.17ms
104.244.88.144#US|144.3Mbps|TLS13.38ms
46.17.107.199#US|69.2Mbps|TLS40.89ms
159.89.91.17#US|63.7Mbps|TLS13.26ms
45.13.237.193#DE|20.3Mbps|TLS143.56ms
152.70.167.174#DE|19.5Mbps|TLS157.98ms
80.240.22.234#DE|18.0Mbps|TLS100.0ms
194.180.188.241#DE|15.3Mbps|TLS116.37ms
46.249.100.111#DE|14.8Mbps|TLS175.52ms
95.164.123.31#DE|14.4Mbps|TLS156.38ms
144.31.72.69#DE|12.3Mbps|TLS145.12ms
46.203.233.247#DE|11.9Mbps|TLS140.16ms
109.94.170.104#DE|11.3Mbps|TLS110.96ms
51.241.130.35#GB|14.6Mbps|TLS83.6ms
57.128.179.189#GB|13.3Mbps|TLS110.13ms
57.128.177.22#GB|13.2Mbps|TLS92.38ms
185.212.62.204#GB|12.2Mbps|TLS87.01ms
35.176.187.206#GB|9.7Mbps|TLS85.48ms
57.128.182.21#GB|6.8Mbps|TLS89.8ms
57.128.181.219#GB|6.3Mbps|TLS87.53ms
188.166.144.219#GB|6.0Mbps|TLS91.19ms
57.128.176.87#GB|5.9Mbps|TLS89.48ms
170.205.39.165#JP|3.3Mbps|TLS179.97ms
167.179.117.9#JP|2.8Mbps|TLS183.02ms
54.95.106.234#JP|2.7Mbps|TLS170.41ms
45.92.159.134#JP|2.5Mbps|TLS177.31ms
45.77.27.173#JP|2.5Mbps|TLS165.11ms
57.182.53.21#JP|2.5Mbps|TLS167.78ms
212.50.245.142#JP|2.5Mbps|TLS175.26ms
207.148.103.41#JP|2.4Mbps|TLS167.76ms
160.16.209.61#JP|2.4Mbps|TLS164.47ms
217.142.226.241#JP|2.4Mbps|TLS193.55ms
157.230.244.86#SG|1.3Mbps|TLS236.4ms
43.156.23.85#SG|1.3Mbps|TLS230.03ms
43.128.78.49#SG|1.3Mbps|TLS255.87ms
140.245.127.48#SG|1.3Mbps|TLS246.24ms
138.2.76.34#SG|1.2Mbps|TLS232.5ms
168.138.165.174#SG|1.1Mbps|TLS250.75ms
18.141.211.227#SG|1.1Mbps|TLS229.73ms
162.128.72.114#SG|1.0Mbps|TLS233.95ms
45.130.164.109#SG|1.0Mbps|TLS236.02ms
178.128.90.108#SG|TLS9999ms
210.3.205.158#HK|1.9Mbps|TLS228.49ms
210.3.205.167#HK|1.8Mbps|TLS236.2ms
209.9.200.202#HK|1.6Mbps|TLS206.32ms
43.154.33.183#HK|1.6Mbps|TLS209.81ms
156.224.76.187#HK|1.6Mbps|TLS236.39ms
210.3.205.170#HK|1.6Mbps|TLS205.97ms
192.252.179.26#HK|1.6Mbps|TLS218.07ms
82.158.230.241#HK|1.5Mbps|TLS212.81ms
103.192.179.132#HK|1.4Mbps|TLS213.46ms
210.3.205.168#HK|1.4Mbps|TLS204.68ms
123.111.169.70#KR|3.6Mbps|TLS248.52ms
131.186.16.166#KR|2.2Mbps|TLS188.5ms
131.186.26.94#KR|2.1Mbps|TLS197.45ms
52.78.106.10#KR|2.0Mbps|TLS196.1ms
43.155.205.141#KR|2.0Mbps|TLS224.27ms
34.81.179.112#TW|1.7Mbps|TLS253.08ms
60.249.21.30#TW|1.6Mbps|TLS324.49ms
35.194.182.77#TW|1.6Mbps|TLS201.32ms
23.146.248.149#TW|TLS9999ms
151.242.188.152#TW|TLS9999ms
85.237.206.231#TW|TLS9999ms
140.235.38.78#TW|TLS9999ms
140.235.38.206#TW|TLS9999ms
140.235.38.35#TW|TLS9999ms
94.103.1.190#NL|16.8Mbps|TLS177.39ms
103.112.70.202#NL|16.2Mbps|TLS128.81ms
161.35.247.7#NL|15.3Mbps|TLS157.06ms
89.124.85.150#NL|13.5Mbps|TLS130.78ms
83.217.222.170#NL|13.4Mbps|TLS140.73ms
77.83.85.158#NL|12.3Mbps|TLS193.38ms
212.80.216.85#NL|11.9Mbps|TLS161.64ms
2.26.110.123#NL|11.3Mbps|TLS155.19ms
195.133.66.132#NL|11.0Mbps|TLS137.51ms
185.167.96.18#NL|10.7Mbps|TLS170.48ms
